reponame,grade,files,issues,gofmt,govet,golint,gocyclo,license,ineffassign,misspell
coreybutler/nvm-windows,F (32.4%),6,6,0%,50%,0%,50%,100%,100%,83%
fogleman/primitive,A (85.6%),18,17,100%,88%,94%,11%,100%,100%,100%
txthinking/brook,A (86.9%),34,22,97%,97%,44%,61%,97%,100%,100%
CodisLabs/codis,A (86.4%),240,96,94%,97%,92%,64%,100%,0%,100%
gorilla/mux,A+ (93.3%),14,5,92%,100%,78%,85%,100%,100%,100%
gorilla/websocket,A+ (98.5%),38,5,100%,100%,100%,86%,100%,100%,100%
julienschmidt/httprouter,A+ (90.2%),6,4,100%,100%,33%,83%,100%,100%,100%
boltdb/bolt,A+ (93.4%),34,12,97%,97%,79%,82%,97%,100%,100%
spf13/viper,A (87.5%),8,3,87%,87%,87%,75%,100%,100%,100%
kubernetes/kops,A+ (97.9%),5370,627,99%,98%,89%,97%,99%,100%,100%
micro/go-micro,A+ (92.5%),425,215,100%,94%,57%,93%,99%,100%,98%
grpc/grpc-go,A+ (94.7%),310,72,99%,87%,99%,88%,99%,100%,100%
google/grumpy,A+ (94.6%),75,24,92%,98%,84%,100%,94%,100%,98%
google/cadvisor,A+ (99.0%),1704,117,99%,99%,93%,99%,99%,100%,100%
goharbor/harbor,A+ (98.6%),933,117,99%,99%,95%,96%,94%,100%,100%
chai2010/advanced-go-programming-book,A+ (93.3%),157,65,98%,94%,63%,100%,100%,100%,100%
rancher/k3s,A+ (99.9%),9157,63,99%,99%,99%,99%,100%,100%,100%
hashicorp/packer,A+ (98.0%),6177,819,99%,99%,87%,97%,99%,100%,100%
jaegertracing/jaeger,A+ (96.9%),546,59,98%,92%,99%,99%,99%,100%,100%
gizak/termui,A+ (91.4%),46,27,97%,97%,43%,95%,100%,100%,100%
gocolly/colly,A+ (99.1%),47,2,100%,97%,100%,97%,100%,100%,100%
google/gvisor,A+ (94.0%),1090,265,97%,88%,96%,86%,99%,100%,100%
bcicen/ctop,A (84.7%),58,54,89%,98%,98%,6%,100%,100%,94%
peterq/pan-light,A (85.0%),178,138,98%,90%,28%,73%,96%,100%,97%
hyperledger/fabric,A+ (97.8%),3222,528,99%,99%,87%,97%,96%,100%,100%
esimov/caire,A+ (95.4%),23,5,95%,100%,82%,91%,100%,100%,100%
dutchcoders/transfer.sh,A (82.4%),12,9,91%,91%,66%,33%,91%,100%,91%
vitessio/vitess,A+ (94.4%),1317,338,98%,89%,98%,85%,99%,100%,100%
