reponame,time_avg,n
kubernetes/autoscaler,62.54761904761905,42
nats-io/nats.go,82.45454545454545,11
tidwall/buntdb,53.5,2
panjf2000/ants,478.0,1
Masterminds/squirrel,24.571428571428573,7
genuinetools/img,110.33333333333333,3
go-gomail/gomail,84.0,1
kahing/goofys,206.0,4
aquasecurity/trivy,28.666666666666668,6
campoy/go-tooling-workshop,27.0,1
drk1wi/Modlishka,92.0,1
Jeiwan/blockchain_go,135.0,1
volatiletech/sqlboiler,190.85714285714286,7
ovh/cds,331.90909090909093,11
go-mgo/mgo,89.0,7
coreos/fleet,188.46153846153845,13
whalebrew/whalebrew,63.5,2
parnurzeal/gorequest,58.833333333333336,6
wcharczuk/go-chart,276.0,1
sorintlab/stolon,249.0,3
gobuffalo/packr,132.5,2
goinaction/code,222.0,1
thewhitetulip/web-dev-golang-anti-textbook,61.0,4
fullstorydev/grpcurl,63.0,1
lxc/lxd,378.10714285714283,28
kubernetes-sigs/external-dns,28.25925925925926,27
knative/serving,47.293103448275865,58
HouzuoGuo/tiedot,110.33333333333333,6
syncsynchalt/illustrated-tls,79.0,1
tinode/chat,526.3333333333334,3
fvbock/endless,26.5,2
gpmgo/gopm,202.0,2
pksunkara/alpaca,88.5,2
knqyf263/pet,37.5,2
golang/glog,9.5,2
OJ/gobuster,84.66666666666667,3
Ne0nd0g/merlin,77.5,6
gravityblast/fresh,11.5,2
containernetworking/cni,36.04761904761905,21
nlf/dlite,111.0,2
spf13/afero,20.88888888888889,9
containers/buildah,78.45,20
markbates/goth,19.176470588235293,17
docker/libchan,40.666666666666664,3
gravitational/teleconsole,36.0,2
unknwon/go-web-foundation,114.0,1
joho/godotenv,47.0,2
cweill/gotests,45.5,4
xtaci/kcp-go,309.5,2
jdkato/prose,112.0,2
kubernetes-retired/contrib,41.42622950819672,61
coocood/freecache,16.0,3
genuinetools/binctr,53.0,1
mlabouardy/komiser,263.0,1
vuvuzela/vuvuzela,77.5,2
m3db/m3,100.72222222222223,18
rakyll/statik,63.0,1
esimov/pigo,323.0,1
mikespook/Learning-Go-zh-cn,221.66666666666666,6
mattes/migrate,42.75,8
AdguardTeam/AdGuardHome,116.4,5
benmanns/goworker,56.5,2
jinzhu/now,53.0,1
virtual-kubelet/virtual-kubelet,37.6,15
mailru/easyjson,21.4,10
runatlantis/atlantis,129.25,8
xo/xo,91.0,2
chrislusf/gleam,173.0,4
buzzfeed/sso,27.666666666666668,9
go-resty/resty,140.5,2
ReactiveX/RxGo,38.25,4
mehrdadrad/mylg,319.5,2
FiloSottile/Heartbleed,33.333333333333336,3
docker/swarmkit,103.5,36
astaxie/bat,63.0,1
OWASP/Amass,171.0,5
constabulary/gb,144.0,7
GoogleContainerTools/container-diff,38.888888888888886,9
docker/deploykit,42.0,10
ilanyu/ReverseProxy,6.0,1
grpc-ecosystem/go-grpc-middleware,34.0,1
nfnt/resize,13.0,2
containous/yaegi,188.33333333333334,3
afex/hystrix-go,82.0,3
itsabot/itsabot,679.0,1
maruel/panicparse,143.0,1
TrueFurby/go-callvis,67.5,2
jackc/pgx,157.77777777777777,9
google/mtail,486.6,5
mvdan/sh,771.5,4
Humpheh/goboy,144.0,1
linkedin/Burrow,25.714285714285715,7
hajimehoshi/ebiten,4142.0,1
uber/aresdb,71.2,5
gernest/utron,70.0,2
prest/prest,50.0,7
fagongzi/gateway,117.5,4
aws/aws-lambda-go,17.666666666666668,3
sourcegraph/thyme,32.5,2
jetstack/kube-lego,42.0,6
mmatczuk/go-http-tunnel,75.5,2
sideshow/apns2,43.333333333333336,3
aquasecurity/kube-bench,59.625,8
Jeffail/benthos,205.0,7
cri-o/cri-o,119.12903225806451,31
boramalper/magnetico,51.0,5
ChimeraCoder/gojson,30.333333333333332,3
gopherdata/gophernotes,78.25,4
goraft/raft,104.6,5
emitter-io/emitter,121.5,4
shiyanhui/dht,27.0,1
digitalocean/doctl,64.73913043478261,23
divan/txqr,101.0,1
TarsCloud/TarsGo,62.5,2
go-task/task,93.83333333333333,6
opentracing/opentracing-go,47.166666666666664,6
goproxy/goproxy.cn,110.0,1
kardianos/service,46.0,2
nginxinc/kubernetes-ingress,58.625,8
siddontang/go-mysql,54.8,5
devopsfaith/krakend,77.66666666666667,6
chaosblade-io/chaosblade,25.666666666666668,3
theupdateframework/notary,101.72727272727273,22
cheggaaa/pb,95.5,2
maxmcd/webtty,34.0,1
purpleidea/mgmt,114.2,10
aQuaYi/LeetCode-in-Go,1488.0,1
solo-io/unik,45.5,6
google/codesearch,14.5,2
googleapis/google-api-go-client,48.0,17
pressly/sup,107.0,2
volatiletech/authboss,89.0,4
gwuhaolin/livego,11.0,1
cortexproject/cortex,89.34615384615384,26
distribworks/dkron,352.0,5
fogleman/gg,76.0,2
mgechev/revive,127.0,2
GoogleCloudPlatform/terraformer,53.0,10
liamg/aminal,113.66666666666667,3
dustin/go-humanize,45.5,2
dunglas/vulcain,33.0,2
jedisct1/piknik,203.0,1
DATA-DOG/go-sqlmock,29.4,5
projectcontour/contour,150.42857142857142,14
yahoo/gryffin,21.0,1
upper/db,336.5,4
goodrain/rainbond,380.375,8
ouqiang/gocron,286.0,1
360EntSecGroup-Skylar/ElasticHD,59.0,1
floyernick/Data-Structures-and-Algorithms,39.0,1
getgauge/gauge,110.42105263157895,19
mholt/timeliner,34.0,1
42wim/matterbridge,140.375,8
mickael-kerjean/filestash,510.0,1
moby/buildkit,124.75,16
shen100/golang123,357.0,1
jgrahamc/httpdiff,27.0,1
arachnys/athenapdf,42.0,2
hyperhq/hyperd,81.92857142857143,14
golang/net,39.80952380952381,21
twpayne/chezmoi,561.0,2
ashleymcnamara/gophers,107.0,1
google/trillian,133.13333333333333,15
rtr7/router7,187.0,1
henrylee2cn/teleport,426.5,2
pilosa/pilosa,317.90909090909093,11
tdewolff/minify,543.0,2
Ullaakut/cameradar,104.0,1
moncho/dry,464.5,2
elastic/go-elasticsearch,97.0,2
zalando/skipper,58.04,25
go-qml/qml,316.0,1
skynetservices/skynet-archive,134.57142857142858,7
EDDYCJY/go-gin-example,102.0,1
googleapis/google-cloud-go,72.80555555555556,36
argoproj/argo-cd,165.33333333333334,9
hellofresh/janus,215.625,8
kubernetes-sigs/kubebuilder,59.666666666666664,18
unidoc/unioffice,71.8,5
gopher-os/gopher-os,288.0,1
olekukonko/tablewriter,23.666666666666668,3
howeyc/fsnotify,86.5,2
justinas/alice,27.5,2
rcrowley/goagain,55.0,1
mpolden/echoip,221.0,1
minishift/minishift,67.10526315789474,19
yunabe/lgo,157.0,1
pulumi/kubespy,13.0,2
ahmetb/go-linq,45.0,3
codesenberg/bombardier,71.0,1
shunfei/cronsun,56.666666666666664,3
GoesToEleven/golang-web-dev,541.0,1
Terry-Mao/gopush-cluster,322.0,1
redspread/spread,153.5,2
uber/makisu,51.25,4
chanxuehong/wechat,27.0,1
shen100/wemall,65.0,1
src-d/gitbase,131.4,10
alash3al/sqler,65.0,1
weaveworks/eksctl,75.9,30
willnorris/imageproxy,132.0,2
fireworq/fireworq,28.75,4
kabukky/journey,80.0,2
alecthomas/chroma,71.66666666666667,3
prometheus/client_golang,46.78947368421053,19
influxdata/kapacitor,119.75,12
nareix/joy4,6.0,1
rapidloop/rtop,20.0,1
intelsdi-x/snap,79.35483870967742,31
kubeedge/kubeedge,41.666666666666664,27
brigadecore/brigade,73.83333333333333,18
solo-io/gloo,50.53846153846154,13
PuerkitoBio/gocrawl,102.5,2
solo-io/gloo,50.53846153846154,13
gocircuit/circuit,426.0,1
fogleman/pt,465.0,1
segmentio/kafka-go,41.25,8
coreos/torus,82.5,10
cube2222/octosql,136.0,3
francoispqt/gojay,275.0,1
marcusolsson/tui-go,30.5,2
xmge/gonote,134.0,1
isacikgoz/gitin,99.0,1
hashicorp/go-plugin,33.6,5
kubernetes-incubator/external-storage,61.80769230769231,26
gravitational/workshop,20.2,5
convox/rack,240.89655172413794,29
google/btree,25.0,1
chaitin/xray,20.818181818181817,11
aptly-dev/aptly,220.625,8
feixiao/Distributed-Systems,55.0,2
